Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]","2001 [YR2001]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
"Population, total","SP.POP.TOTL","Guinea-Bissau","GNB","616407","711828","849886","1056208","1315455","1343646","1494603","1527342","1561293","1596832","1634196","1673509","1714620","1757138","1800513",".."
"Population, total","SP.POP.TOTL","Guyana","GUY","564222","695561","786614","720282","742218","743163","743705","745638","748096","750749","753362","755883","758410","761033","763893",".."
"Population, total","SP.POP.TOTL","Haiti","HTI","3866160","4708639","5688832","7099733","8549202","8692564","9409479","9556958","9705130","9852953","9999617","10144890","10288828","10431249","10572029",".."
"Population, total","SP.POP.TOTL","Honduras","HND","2002333","2691309","3635862","4903363","6243080","6371304","7007029","7133737","7259470","7383098","7503875","7621414","7736131","7849059","7961680",".."
"Population, total","SP.POP.TOTL","Hong Kong SAR, China","HKG","3075605","3959000","5063100","5704500","6665000","6714300","6857100","6916300","6957800","6972800","7024200","7071600","7154600","7187500","7241700",".."
"Population, total","SP.POP.TOTL","Hungary","HUN","9983967","10337910","10711122","10373988","10210971","10187576","10071370","10055780","10038188","10022650","10000023","9971727","9920362","9893082","9861673",".."
"Population, total","SP.POP.TOTL","Iceland","ISL","175574","204438","228138","254826","281205","284968","303782","311566","317414","318499","318041","319014","320716","323764","327589",".."
"Population, total","SP.POP.TOTL","India","IND","449661874","553943226","697229745","870601776","1053481072","1071888190","1162088305","1179685631","1197070109","1214182182","1230984504","1247446011","1263589639","1279498874","1295291543",".."
"Population, total","SP.POP.TOTL","Indonesia","IDN","87792512","114834781","147490366","181436821","211540428","214448301","229263980","232296830","235360765","238465165","241613126","244808254","248037853","251268276","254454778",".."
"Population, total","SP.POP.TOTL","Iran, Islamic Rep.","IRN","21906905","28514011","38668222","56169196","65850062","66812736","70923164","71720859","72530693","73370982","74253373","75184322","76156975","77152445","78143644",".."
"Population, total","SP.POP.TOTL","Iraq","IRQ","7289759","9917982","13653358","17478455","23574751","24258794","27716983","28423538","29163327","29970634","30868156","31810191","32780975","33781385","34812326",".."
"Population, total","SP.POP.TOTL","Ireland","IRL","2828600","2957250","3412800","3513974","3805174","3866243","4273591","4398942","4489544","4535375","4560155","4576794","4586897","4598294","4612719",".."
"Population, total","SP.POP.TOTL","Isle of Man","IMY","48441","56712","65108","70312","76806","77608","81110","81914","82737","83548","84327","85069","85779","86462","87127",".."
"Population, total","SP.POP.TOTL","Israel","ISR","2114020","2974000","3878000","4660000","6289000","6439000","7053700","7180100","7308800","7485600","7623600","7765800","7910500","8059500","8215300",".."
"Population, total","SP.POP.TOTL","Italy","ITA","50199700","53821850","56433883","56719240","56942108","56974100","58143979","58438310","58826731","59095365","59277417","59379449","59539717","60233948","61336387",".."
"Population, total","SP.POP.TOTL","Jamaica","JAM","1629003","1869000","2133000","2390000","2589389","2605556","2653042","2662481","2671934","2681386","2690824","2699838","2707805","2714734","2721252",".."
"Population, total","SP.POP.TOTL","Japan","JPN","92500572","104345000","116782000","123537000","126843000","127149000","127854000","128001000","128063000","128047000","128070000","127817277","127561489","127338621","127131800",".."
"Population, total","SP.POP.TOTL","Jordan","JOR","844000","1508000","2181000","3170000","4797000","4917000","5536000","5661000","5786000","5915000","6046000","6181000","6318000","6460000","6607000",".."
"Population, total","SP.POP.TOTL","Kazakhstan","KAZ","9714260","12757245","14518924","16348000","14883626","14858335","15308084","15484192","15674000","16092701","16321581","16556600","16791425","17035275","17289111",".."
"Population, total","SP.POP.TOTL","Kenya","KEN","8105440","11252466","16267906","23446229","31065820","31863280","36286015","37250540","38244442","39269988","40328313","41419954","42542978","43692881","44863583",".."
